Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
5/28/2021,1990,2105,1985.1,2094.9,2065.37,2158323,113895,4457730935,958435,44.41,119.9,104.9
5/27/2021,1970.9,1992.2,1963.1,1978.2,1981.39,274228,13119,543353313,112076,40.87,29.1,7.3
5/26/2021,1984.9,1984.9,1966,1969.65,1972.08,184227,14039,363309554,54583,29.63,18.9,-15.25
5/25/2021,1990.05,1997,1960.1,1964.5,1975.05,204518,15132,403932884,82985,40.58,36.9,-25.55
5/24/2021,2007.4,2009.5,1981.6,1985.55,1995.5,710011,14869,1416826179,590559,83.18,27.9,-21.85
5/21/2021,1995.7,2009,1980,2000.9,1998.93,210603,10786,420981015,52317,24.84,29,5.2
5/20/2021,1996.35,2010.8,1981.1,1985.3,1991.69,276354,11811,550411469,107950,39.06,29.7,-11.05
5/19/2021,1982,2016.6,1972.1,1996.35,1994.83,563712,18970,1124507837,286267,50.78,44.5,14.35
5/18/2021,1978,2002.65,1972.1,1987.8,1987.86,578117,32444,1149216999,269499,46.62,30.55,9.8
5/17/2021,1938.7,1963.15,1931,1960.55,1950.41,405141,14851,790190262,238495,58.87,32.15,21.85
5/14/2021,1925.1,1941.5,1906.5,1936.85,1924.44,515884,31731,992788533,200515,38.87,35,11.75
5/12/2021,1934,1934,1907.75,1913.55,1915.67,373114,28928,714763785,189722,50.85,26.25,-20.45
5/11/2021,1917,1938.65,1910.05,1933.7,1930.69,265869,12690,513310886,135420,50.93,28.6,16.7
5/10/2021,1943.75,1946.1,1920.4,1925.7,1932.66,225581,14033,435971502,70786,31.38,25.7,-18.05
5/7/2021,1940,1955.45,1925.9,1931.3,1940.74,178669,11329,346750207,42187,23.61,29.55,-8.7
5/6/2021,1926,1934.15,1907.25,1929.9,1920.56,231521,12603,444649781,64314,27.78,26.9,3.9
5/5/2021,1919.7,1937.9,1908.15,1919.75,1922.89,287285,15060,552418436,83853,29.19,29.75,0.05
5/4/2021,1954,1967.5,1911,1916.55,1938.67,1021839,45654,1981004674,681569,66.7,56.5,-37.45
5/3/2021,1963.7,1979,1943.7,1959.25,1956.28,693942,32471,1357543995,301865,43.5,35.3,-4.45
4/30/2021,2014.7,2036.4,1987.4,1994.45,2014.62,321474,17038,647647726,62341,19.39,49,-20.25
4/29/2021,2016.65,2045,2008,2023.2,2023.89,253013,13651,512070760,53537,21.16,37,6.55
4/28/2021,1999.45,2007.4,1980.75,1996.05,1997.18,442402,23740,883558216,175681,39.71,26.65,-3.4
4/27/2021,1943,1997.55,1940.9,1988.9,1978.81,348348,17494,689314692,89985,25.83,56.65,45.9
4/26/2021,1916.25,1961,1911.85,1937.45,1924.92,1330622,27702,2561341174,971732,73.03,49.15,21.2
4/23/2021,1903,1919,1896,1904.4,1909.78,370043,16291,706698927,257013,69.45,23,1.4
4/22/2021,1896,1914.45,1877.6,1906.05,1901.3,1180007,22549,2243550064,970406,82.24,36.85,10.05
4/20/2021,1914.7,1919.9,1890.55,1901.4,1908.73,414659,20215,791470769,228632,55.14,29.35,-13.3
4/19/2021,1901,1916.6,1891,1902.55,1901.5,485900,37563,923940031,247446,50.93,25.6,1.55
4/16/2021,1944,1949.5,1926.6,1934,1936.85,1494385,15385,2894403697,1313867,87.92,22.9,-10
4/15/2021,1920.5,1960.65,1913.6,1943.9,1931.71,328742,20426,635033066,96646,29.4,47.05,23.4
4/13/2021,1925,1940.15,1918.35,1931.9,1931.01,265483,19829,512650268,76751,28.91,21.8,6.9
4/12/2021,1956.05,1966.25,1900.55,1911.3,1926.09,666100,56064,1282969272,261863,39.31,65.7,-44.75
4/9/2021,2003,2006.8,1980.1,1982.65,1989.09,241161,14692,479692120,115912,48.06,26.7,-20.35
4/8/2021,2010.05,2021.15,1993.5,2005,2003.46,1534983,10711,3075273667,1355959,88.34,27.65,-5.05
4/7/2021,1992.2,2046.1,1992.2,2002.8,2019.54,281524,14235,568549973,44609,15.85,53.9,10.6
4/6/2021,2001.25,2005,1970,1983.65,1984.35,337567,22602,669851394,93717,27.76,35,-17.6
4/5/2021,2025,2025,1961.85,1992.8,1983.8,253365,15352,502625230,68568,27.06,63.15,-32.2
4/1/2021,2019.7,2030,2003.35,2021.7,2017.52,246593,14584,497505825,57346,23.26,26.65,2
3/31/2021,2015.35,2049.9,1999,2003.2,2022.65,207901,12352,420510792,34782,16.73,50.9,-12.15
3/30/2021,2009.7,2048.5,1992,2028.6,2025.85,266010,14573,538896455,46750,17.57,56.5,18.9
3/26/2021,2010,2014.95,1973.05,1994.25,1998.37,800154,29656,1599004930,111642,13.95,41.9,-15.75
3/25/2021,2050.55,2057.55,1985,1992.75,2012.62,309621,16544,623150828,71010,22.93,72.55,-57.8
3/24/2021,2080.55,2080.55,2040.8,2047.3,2056.18,307569,20415,632418003,70369,22.88,39.75,-33.25
3/23/2021,2064,2109.9,2057.25,2089.05,2087.43,578793,14854,1208190547,43907,7.59,52.65,25.05
3/22/2021,2075,2075,2033.9,2061.85,2051.08,317137,15786,650472950,61105,19.27,41.1,-13.15
3/19/2021,1988.3,2095,1981.2,2081.9,2027.59,729355,43647,1478830570,204579,28.05,113.8,93.6
